driver_id,full_name,license_no,hire_date,home_city
1,Aynur Hasanov,AZ9479356,2021-02-20,Mingachevir
2,Nigar Aliyev,AZ2548511,2021-05-29,Lankaran
3,Sabina Hasanov,AZ1739653,2022-05-17,Baku
4,Gunel Huseynov,AZ5394880,2021-11-14,Ganja
5,Nijat Karimov,AZ8175395,2024-02-27,Shaki
6,Elvin Mammadov,AZ3500715,2020-01-20,Shaki
7,Sabina Ismayilov,AZ3484601,2020-03-14,Mingachevir
8,Tural Hasanov,AZ7117837,2020-09-18,Baku
9,Rashad Guliyev,AZ2724590,2022-01-02,Sumgait
10,Farid Rzayev,AZ3592974,2024-05-16,Ganja
11,Kamran Huseynov,AZ7917152,2024-11-05,Baku
12,Leyla Ismayilov,AZ7907400,2021-01-02,Lankaran
13,Leyla Guliyev,AZ5476257,2024-11-04,Ganja
14,Leyla Mammadov,AZ7417985,2024-05-31,Baku
15,Nijat Guliyev,AZ4348276,2024-10-24,Mingachevir
